,index,index_character,index_world,name,poster,hero,url,group,Unnamed: 8,url_info,description
10,10,8,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Рок Ли,https://i.pinimg.com/originals/50/52/d7/5052d79b80d9d0d4dcc2d6561adb5324.jpg,Аниме,,,
11,11,9,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Сакура,https://i.pinimg.com/originals/f2/1a/e2/f21ae2a073b951e6d1f1c3d633ab8f23.jpg,Аниме,,,
12,12,10,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Ино,https://i.pinimg.com/originals/d0/2a/e6/d02ae6de11ebff4bb6abd6db4afa2e46.jpg,Аниме,,,
13,13,11,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Шикамару,https://i.pinimg.com/736x/08/15/43/081543128d2cfac597e232b03c41f16e.jpg,Аниме,,,
14,14,12,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Дейдара,https://kakoy-smysl.ru/wp-content/uploads/2020/04/Deidara_mugshot.png,Аниме,,,
15,15,13,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Итачи,https://i.pinimg.com/originals/cf/fb/1b/cffb1bc960ace243387437a9a2e3a587.jpg,Аниме,,,
16,16,14,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Гаара,https://i.pinimg.com/736x/89/7e/1d/897e1da359088c7a4ed706ebfa4ebaf5.jpg,Аниме,,,
17,17,15,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Темари,https://i.pinimg.com/originals/b3/42/b2/b342b2e2ae70f69f925f8f34b1e36339.jpg,Аниме,,,
18,18,16,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Курама,https://i.pinimg.com/474x/5a/e6/89/5ae68997a6bd4dc95b93444b5f18e2f2.jpg,Аниме,,,
19,19,17,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Мадара,https://i.pinimg.com/originals/78/33/00/7833006be486467a85d34a2caa9b56a3.jpg,Аниме,,,
20,20,18,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Забуза,https://i.ytimg.com/vi/Z1bfMzayvLI/maxresdefault.jpg,Аниме,,,
21,21,19,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Зецу,https://data.topquizz.com/distant/question/big/4/0/4/2/962404_8050e7dd24.jpg,Аниме,,,
22,22,20,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Орочимару,https://i.pinimg.com/originals/2a/ff/30/2aff30c13c173758d8b00ef27458d65e.jpg,Аниме,,,
23,23,21,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Цунаде,https://vignette.wikia.nocookie.net/naruto/images/9/9c/Tsunade.png/revision/latest?cb=20160609182119&path-prefix=he,Аниме,,,
24,24,22,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Джирайя,https://i.pinimg.com/474x/97/c8/49/97c84938fa55449c6d7cc2799cec7f70.jpg,Аниме,,,
25,25,23,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Кабуто,https://i.pinimg.com/originals/be/be/90/bebe907176656a51de12d8a3530c009a.jpg,Аниме,,,
26,26,24,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Кушина,https://i.pinimg.com/736x/25/84/20/25842008d49f7f83fb6bd2c123edcf43.jpg,Аниме,,,
27,27,25,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Неджи,https://i.pinimg.com/originals/ef/8b/34/ef8b340622bc066e041dff94c6deffc1.jpg,Аниме,,,
28,28,26,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Шино,https://i.pinimg.com/originals/f8/20/cd/f820cd9fa99bc48131ab043be8a482c0.jpg,Аниме,,,
29,29,27,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Хирузен,https://i.pinimg.com/474x/de/49/e8/de49e895c031c133bcbe26cb0aa6a07b.jpg,Аниме,,,
30,30,28,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Тентен,https://i.pinimg.com/474x/64/d0/9d/64d09d5f450e27a55ea3d26c1b4d3368.jpg,Аниме,,,
31,31,29,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Шукаку,https://i.pinimg.com/474x/eb/a3/f8/eba3f8751fb2a1e7e219f1378ba4a63f.jpg,Аниме,,,
32,32,30,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Тонтон,https://i.pinimg.com/474x/48/01/15/4801153f6f9a9d5a6da61a43368deaf3.jpg,Аниме,,,
33,33,31,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Кисаме,https://i.pinimg.com/474x/e2/26/ca/e226ca01310d1ada17ae4a2c6766bf0e.jpg,Аниме,,,
34,34,32,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Сасори,https://i.pinimg.com/originals/34/c4/01/34c401ae9a979edf0d66ba5a807718eb.jpg,Аниме,,,
35,35,33,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Гамабунта,http://pm1.narvii.com/7589/619ec7ea3a1b7f3aa51c9cfab55135d98915509br1-500-500v2_uhq.jpg,Аниме,,,
36,36,34,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Чоджи,https://i.pinimg.com/originals/9d/8f/51/9d8f514d14d048a8503b7c9b0bd958dd.jpg,Аниме,,,
37,37,35,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Канкуро,https://i.pinimg.com/474x/c0/df/d8/c0dfd8a33be41b4c36387f71d5f966d0.jpg,Аниме,,,
38,38,36,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Шизуне,https://i.pinimg.com/originals/c4/1f/27/c41f2795d7a61879081edf4c5a3d3acd.jpg,Аниме,,,
39,39,37,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Хоширама,https://i.pinimg.com/474x/a2/db/76/a2db7651330822c105a93d4d56233913.jpg,Аниме,,,
40,40,38,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Конан,https://vignette.wikia.nocookie.net/naruto-bleach-korra-and-sonic/images/5/57/Konan.png/revision/latest?cb=20141231152316,Аниме,,,
41,41,39,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Гай,https://i.pinimg.com/474x/03/23/37/0323376d28933b782c54b566fc31f134.jpg,Аниме,,,
42,42,40,1,Наруто,https://c.wallhere.com/photos/d4/f4/Naruto_Shippuuden_Uzumaki_Naruto_Jiraiya_Nara_Shikamaru_Tenten_Hatake_Kakashi_Tsunade_Hyuuga_Neji-109600.jpg!d,Асума,https://i.pinimg.com/474x/ed/ef/25/edef250066fc2f028c4cbd3f4610fb77.jpg,Аниме,,,
43,43,1,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Дейнерис,https://i.pinimg.com/736x/bd/22/98/bd22982a32856655fd9266d283c4980d.jpg,Кино,,,
44,44,2,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Варис,https://i.pinimg.com/474x/35/20/1b/35201b1a7bbb2e081c389fe43963ef12.jpg,Кино,,,
45,45,3,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Серсея,https://i.pinimg.com/736x/cc/a9/a4/cca9a4723feabeedf020199fbf292dcd.jpg,Кино,,,
46,46,4,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Тирион,https://upload.wikimedia.org/wikipedia/ru/b/b0/Peter_Dinklage_as_Tyrion_Lannister.jpg,Кино,,,
47,47,5,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Джон Сноу,https://i.pinimg.com/originals/5d/05/11/5d0511c4ea868362bbd74d1bb4099855.jpg,Кино,,,
48,48,6,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Санса Старк,https://i.pinimg.com/originals/b8/ee/18/b8ee18947d015c5993502c5e48adabe4.jpg,Кино,,,
49,49,7,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Арья,https://i.pinimg.com/736x/e8/46/03/e8460308f3666ccc883616831cf049e9.jpg,Кино,,,
50,50,8,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Рамси Болтон,https://top10a.ru/wp-content/uploads/2019/05/8-75.jpg,Кино,,,
51,51,9,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Милисандра,https://i.pinimg.com/originals/53/e2/75/53e27533d6f991769cab83172e4bd7b9.jpg,Кино,,,
52,52,10,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Бран,https://watchersonthewall.com/wp-content/uploads/2019/04/Bran-Stark-Winterfell-Courtyard-Season-8.jpg,Кино,,,
53,53,11,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Петир,https://i.pinimg.com/originals/d4/c5/4e/d4c54e5a4abd4ff5ee32ba98b7f21d4c.jpg,Кино,,,
54,54,12,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Миссандея,https://webpulse.imgsmail.ru/imgpreview?mb=webpulse&key=pulse_cabinet-image-767cd9be-bc0a-4cb7-b4ee-c8ab6a7e422d,Кино,,,
55,55,13,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Джейме,https://www.thesun.co.uk/wp-content/uploads/2017/07/nintchdbpict000161119234.jpg,Кино,,,
56,56,14,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Теон,https://upload.wikimedia.org/wikipedia/ru/4/4a/Alfie_Allen_as_Theon_Greyjoy.jpg,Кино,,,
57,57,15,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Кхал Дрого,https://puzzleit.ru/files/puzzles/44/43594/_original.jpg,Кино,,,
58,58,16,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Бриенна,https://i.pinimg.com/474x/cd/e3/95/cde3950d3199dbd552f9e5925fd72172.jpg,Кино,,,
59,59,17,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Пес,https://i.pinimg.com/originals/60/83/0a/60830a133a59dca9bc4a8016dd514b31.jpg,Кино,,,
60,60,18,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Джоффри,https://www.peoples.ru/character/movie/joffrey_baratheon/baratheon_1.jpeg,Кино,,,
61,61,19,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Маргери,https://7kingdoms.ru/wp-content/uploads/2018/08/queen_p1_00.jpg,Кино,,,
62,62,20,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Король Ночи,https://i.pinimg.com/474x/5e/53/37/5e53373c7252fc7b5fcb41ba4955ea42.jpg,Кино,,,
63,63,21,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Оберин,https://i.pinimg.com/originals/41/fc/03/41fc033828b13b984eef87e9dec8e6d2--the-game-polyvore.jpg,Кино,,,
64,64,22,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Бронн,https://upload.wikimedia.org/wikipedia/ru/5/58/Jerome_Flynn_as_Bronn.jpg,Кино,,,
65,65,23,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Давос,https://upload.wikimedia.org/wikipedia/ru/a/aa/Liam_Cunningham_as_Davos_Seaworth.jpg,Кино,,,
66,66,24,2,Игра Престолов,http://cm1.narvii.com/7263/bebb514c64622065a5a0d53062937d20327eb9ec_00.jpg,Станнис,https://i.pinimg.com/736x/d1/cf/9c/d1cf9cd946b7d09ff78c008ede3a5190.jpg,Кино,,,
67,67,1,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Гарри Поттер,https://i.pinimg.com/474x/aa/4f/bf/aa4fbfb79e6e21cbf4dc3841119df2e5.jpg,Кино,,,
68,68,2,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Рон Уизли,https://i.pinimg.com/originals/68/a2/ef/68a2ef913d4366761c39aa487e16d058.jpg,Кино,,,
69,69,3,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Северус Снейп,https://i.pinimg.com/474x/df/e2/5f/dfe25ffdda35e276c15f7da7ebfab20d.jpg,Кино,,,
70,70,4,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Минерва Макгонагалл,https://i.pinimg.com/originals/21/8c/b1/218cb14172630f21ff88632e67d3079a.jpg,Кино,,,
71,71,5,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Гермиона Грейнджер,https://i.pinimg.com/originals/f1/a7/0b/f1a70bac1c8d158ae8c996ed2fd662aa.jpg,Кино,,,
72,72,6,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Альбус Дамблдор,https://i.pinimg.com/474x/64/a8/3c/64a83c17da803ca361c701e9569982a2.jpg,Кино,,,
73,73,7,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Волан-де-Морт,https://i.pinimg.com/originals/fd/6f/52/fd6f522045e477f27422ac2023ed2fd6--archetypes-harry-potter-memorabilia.jpg,Кино,,,
74,74,8,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Хагрид,https://i.pinimg.com/originals/07/2d/91/072d91834d024316a0672d13e6dc73ac.jpg,Кино,,,
75,75,9,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Джинни Уизли,https://i.pinimg.com/originals/57/89/f7/5789f76f9e088213eab6380b7d229080.jpg,Кино,,,
76,76,10,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Сириус Блэк,https://i.pinimg.com/originals/1d/98/57/1d9857ae834966b52f495c5dd00dcbc4.jpg,Кино,,,
77,77,11,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Драко Малфой,https://i.pinimg.com/474x/ac/4a/d5/ac4ad5e586ae87d004ead2d226a04a01.jpg,Кино,,,
78,78,12,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Невил Долгопупс,https://i.pinimg.com/474x/1a/1a/39/1a1a393d0a85287fa1d6e32d44d05135.jpg,Кино,,,
79,79,13,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Седрик Диггори,https://i.pinimg.com/originals/13/c0/4a/13c04ae3fce56eb6837382af23124714.jpg,Кино,,,
80,80,14,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Долорес Амбридж,https://i.pinimg.com/originals/99/f1/a3/99f1a33f3a0aad587dcb0c8b67b718aa--imelda-staunton-harry-potter-cosplay.jpg,Кино,,,
81,81,15,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Римус Люпин,https://i.pinimg.com/originals/be/32/f7/be32f78cd17cff46225dd0d5ecbecb8c.jpg,Кино,,,
82,82,16,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Беллатриса Лестрейндж,https://i.pinimg.com/474x/e9/4b/d8/e94bd8297d7071516a8eb783a6a2eae8.jpg,Кино,,,
83,83,17,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Люциус Малфой,https://i.pinimg.com/originals/47/56/9b/47569bafd17113dd667a2718c1589a70--jason-isaacs-movie-quotes.jpg,Кино,,,
84,84,18,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Аргус Филч,https://i.pinimg.com/originals/2c/5c/87/2c5c875db2341556138b2a0632a690f4.jpg,Кино,,,
85,85,19,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Полумна Лавгуд,https://img.buzzfeed.com/buzzfeed-static/static/2020-06/10/10/asset/c691251464d2/sub-buzz-1794-1591786400-14.jpg,Кино,,,
86,86,20,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Добби,https://media.harrypotterfanzone.com/dobby-protects-harry.jpg,Кино,,,
87,87,21,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Крюкохват,https://media.harrypotterfanzone.com/griphook-sword-of-gryffindor-deathly-hallows-part-2-portrait-630x0-c-default.jpg,Кино,,,
88,88,22,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Дадли Дурсль,https://mtdata.ru/u2/photo6FEA/20357534570-0/original.jpg,Кино,,,
89,89,23,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Златопуст Локонс,http://pm1.narvii.com/6966/0f2ebba6b453a54960a3158d2102bbf160daf69ar1-566-810v2_uhq.jpg,Кино,,,
90,90,24,3,Гарри Поттер,https://i.pinimg.com/736x/f3/4e/54/f34e54b329831f9a7e74bcce2260c6a4--poster-film-print-poster.jpg,Питер Петтигрю,https://i.pinimg.com/originals/cf/d4/dd/cfd4dd3277f696958db5ddc05014e492.jpg,Кино,,,
91,91,1,4,Звездные войны,https://i.pinimg.com/736x/b9/08/d5/b908d5a422e46571e714a3017e936704--retro-posters-vintage-poster.jpg,Энакин Скайуокер,https://i.pinimg.com/474x/97/63/ea/9763eaff0b9a232177f840aca7f4ea97.jpg,Кино,,,
